tech code,tech,ct
AB-FC,biopower,recirc
AB-GT,biopower,recirc
AB-IC,biopower,recirc
AB-IG,biopower,recirc
AB-ST,biopower,recirc
ANT-IG,coal-IGCC,recirc
BFG-CC,o-g-s,recirc
BFG-GT,gas-CT,none
BFG-ST,o-g-s,recirc
BIT-AB,coal,recirc
BIT-IG,coal,recirc
BIT-ST,coal,recirc
BLQ-AB,biopower,recirc
BLQ-GT,biopower,recirc
BLQ-ST,biopower,recirc
COK-ST,coal,recirc
COL-AB,coal,recirc
COL-CC,coal,recirc
COL-IG,coal,recirc
COL-ST,coal,recirc
DFO-CC,o-g-s,recirc
DFO-GT,gas-CT,none
DFO-IC,o-g-s,recirc
DFO-ST,o-g-s,recirc
DSL-CC,gas-cc,recirc
DSL-GT,gas-CT,none
DSL-IC,o-g-s,recirc
DSL-NA,o-g-s,recirc
DSL-ST,o-g-s,recirc
FO1-IC,o-g-s,recirc
FO2-GT,gas-CT,none
FO2-IC,o-g-s,recirc
FO2-JE,o-g-s,recirc
FO2-ST,o-g-s,recirc
FO6-ST,o-g-s,recirc
GEO-GE,geothermal,none
JF-CC,gas-CC,recirc
JF-GT,gas-CT,none
JF-IC,gas-CT,none
KER-GT,gas-CT,none
LFG-CC,lfill-gas,none
LFG-FC,lfill-gas,none
LFG-GT,lfill-gas,none
LFG-IC,lfill-gas,none
LFG-ST,lfill-gas,none
LIG-AB,coal,recirc
LIG-IG,coal,recirc
LIG-ST,coal,recirc
LNG-IC,o-g-s,recirc
MF-GT,gas-CT,none
MF-IC,gas-CT,none
MF-ST,o-g-s,recirc
MSB-FC,biopower,recirc
MSB-ST,biopower,recirc
MSW-AB,lfill-gas,none
MSW-CC,lfill-gas,none
MSW-GT,lfill-gas,none
MSW-IC,lfill-gas,none
MSW-ST,lfill-gas,none
MTE-FC,biopower,recirc
MTE-GT,biopower,recirc
MTE-IC,biopower,recirc
MTE-ST,biopower,recirc
MTH-IC,others,none
N/A-BA,battery,none
N/A-CC,unknown,none
N/A-ES,unknown,none
N/A-IC,unknown,none
N/A-ST,unknown,none
NG-AB,o-g-s,recirc
NG-CC,gas-CC,recirc
NG-CE,caes,none
NG-CS,gas-CC,recirc
NG-CT,gas-CC,recirc
NG-CA,gas-CC,recirc
NG-FC,o-g-s,recirc
NG-GT,gas-CT,none
NG-IC,gas-CT,none
NG-IG,gas-CC,recirc
NG-NA,gas-CT,none
NG-ST,o-g-s,recirc
OBG-AB,biopower,recirc
OBG-CC,biopower,recirc
OBG-FC,biopower,recirc
OBG-GT,biopower,recirc
OBG-IC,biopower,recirc
OBG-NA,biopower,recirc
OBG-ST,biopower,recirc
OB-IC,biopower,recirc
OBL-CC,biopower,recirc
OBL-GT,biopower,recirc
OBL-IC,biopower,recirc
OBS-AB,biopower,recirc
OBS-CC,biopower,recirc
OBS-FC,biopower,recirc
OBS-GT,biopower,recirc
OBS-IC,biopower,recirc
OBS-NA,biopower,recirc
OBS-ST,biopower,recirc
OB-ST,biopower,recirc
OG-CC,o-g-s,recirc
OG-CR,o-g-s,recirc
OG-FC,o-g-s,recirc
OG-GT,gas-CT,none
OG-IC,o-g-s,recirc
OG-ST,o-g-s,recirc
OIL-GT,o-g-s,recirc
OIL-IC,o-g-s,recirc
OIL-ST,o-g-s,recirc
OTH-AB,others,none
OTH-BA,battery,none
OTH-CE,caes,none
OTH-CV,others,none
OTH-ES,battery,none
OTH-FC,others,none
OTH-FW,battery,none
OTH-GT,others,none
OTH-IC,others,none
OTH-ST,others,none
PC-AB,coal,recirc
PC-GT,coal,recirc
PC-IC,coal,recirc
PC-IG,coal,recirc
PC-ST,coal,recirc
PG-GT,gas-CT,none
PG-ST,o-g-s,recirc
PUR-ST,o-g-s,recirc
RC-ST,coal,recirc
REF-AB,lfill-gas,none
REF-IC,lfill-gas,none
REF-ST,lfill-gas,none
RFO-CC,gas-CC,recirc
RFO-GT,gas-CT,none
RFO-IC,o-g-s,recirc
RFO-ST,o-g-s,recirc
RG-GT,gas-CT,none
SC-IG,coal-IGCC,recirc
SGC-CC,gas-CC,recirc
SGC-GT,gas-CT,none
SGC-IG,coal-IGCC,recirc
SG-GT,gas-CT,none
SG-ST,o-g-s,recirc
SLW-AB,lfill-gas,none
SLW-FC,lfill-gas,none
SLW-GT,lfill-gas,none
SLW-IC,lfill-gas,none
SLW-ST,lfill-gas,none
SUB-AB,coal,recirc
SUB-IG,coal,recirc
SUB-ST,coal,recirc
SUN-CP,csp-ns,recirc
SUN-PV,pv,none
SUN-SC,csp-ns,dry
SUN-SS,csp-ns,recirc
TDF-GT,lfill-gas,none
TDF-ST,lfill-gas,none
ULO-IC,o-g-s,recirc
URA-CD,nuclear,recirc
URA-NB,nuclear,recirc
URA-ND,nuclear,recirc
URA-NG,nuclear,recirc
URA-NH,nuclear,dry
URA-NL,nuclear,recirc
URA-NP,nuclear,recirc
URA-NQ,nuclear,recirc
WAT-HK,MHKwave,none
WAT-HL,hydro,none
WAT-HT,hydro,none
WAT-HY,hydro,none
WAT-PS,pumped-hydro,none
WC-AB,coal,recirc
WC-IG,coal,recirc
WC-ST,coal,recirc
WD-AB,biopower,recirc
WD-CC,biopower,recirc
WD-GT,biopower,recirc
WD-IC,biopower,recirc
WD-IG,biopower,recirc
WDL-ST,biopower,recirc
WD-NA,biopower,recirc
WDS-AB,biopower,recirc
WDS-CC,biopower,recirc
WDS-GT,biopower,recirc
WDS-IC,biopower,recirc
WDS-IG,biopower,recirc
WDS-ST,biopower,recirc
WD-ST,biopower,recirc
WH-CA,others,none
WH-CC,o-g-s,recirc
WH-GT,gas-CT,none
WH-NA,others,none
WH-ST,o-g-s,recirc
WND-DT,wind-ons,none
WND-WS,wind-ofs,none
WND-WT,wind-ons,none
WO-CC,o-g-s,recirc
WO-GT,o-g-s,recirc
WO-IC,o-g-s,recirc
WO-ST,o-g-s,recirc
NG-AC,gas-CC,dry
DFO-CT,o-g-s,recirc
DSL-CT,o-g-s,recirc
HY-ST,o-g-s,recirc
LPG-IC,gas-CT,none
NG-NG,gas-CC,recirc
SGP-GT,coal-IGCC,recirc
SUN-BA,battery,none
